"","MSN","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","Description","State","StateName"
"38","TETCB",470788,485255,509522,527336,578517,591841,630449,646404,691621,733068,752937,796894,837453,854981,837621,867668,885944,885127,951181,977195,945091,939079,906001,868066,936568,913961,895547,940534,991107,999603,978200,1009715,1002013,1020207,1033828,1041412,1085620,1096783,1108094,1133367,1117269,1028103,1023739,1001871,999951,1036434,1072104,1062708,1047697,1013725,975067,1002476,975044,991867,987145,"Total energy consumption.","OR","Oregon"
"39","TETCB",3253583,3146474,3255865,3391502,3589424,3732472,3832427,3816180,3959414,3982272,4107115,4045173,4188065,4294664,4124338,3914259,4164563,4127671,4129035,4250339,3996851,3810424,3363923,3377784,3605399,3434629,3378937,3552531,3714260,3739173,3636089,3573252,3676130,3748253,3822084,3879569,3912530,3876400,3716778,3753503,3927724,3834917,3894978,3944244,3991107,4013989,3885503,3963030,3944116,3628544,3752280,3725014,3623997,3826959,3902434,"Total energy consumption.","PA","Pennsylvania"
"40","TETCB",187092,172917,180878,180623,178175,173506,175307,193453,197940,210710,222549,235527,236781,231970,215613,206253,215539,223192,212656,201356,185630,175223,174906,180992,192243,204292,206232,215891,223302,216878,212706,218161,244599,201867,239047,227942,218618,216289,225157,224488,202612,201946,200924,216106,213983,207387,198468,198422,194504,194979,195314,185731,183879,199165,204459,"Total energy consumption.","RI","Rhode Island"
"41","TETCB",489314,507192,540258,561175,560697,554461,593592,603111,654397,699241,745786,779705,835044,886211,858734,840982,964745,1000460,994662,984602,998039,1002274,973246,1006585,1069389,1076403,1142301,1178624,1235423,1243933,1262961,1290260,1306229,1362446,1363489,1416484,1453946,1501647,1548295,1550239,1595982,1548070,1586970,1591790,1695329,1668183,1677954,1671674,1639078,1574588,1643912,1601881,1558766,1590456,1632085,"Total energy consumption.","SC","South Carolina"
"42","TETCB",128864,131593,136674,140456,143820,140097,146408,145671,153325,159813,168806,170198,179218,176862,172639,181995,195443,196991,205729,205072,190797,178828,191360,185593,188737,194864,195087,195275,205458,214493,217316,213623,216438,229742,236287,239871,253061,242760,239975,245462,259141,251719,271048,275242,284552,302218,307087,330801,353565,363334,378514,378470,375950,389619,391857,"Total energy consumption.","SD","South Dakota"
"43","TETCB",962716,978207,1015673,1062306,1088612,1137525,1231693,1236066,1284605,1340797,1365628,1371132,1474008,1614114,1578531,1614259,1720099,1779418,1763058,1800468,1725010,1693074,1611949,1660326,1737608,1711578,1700095,1712748,1777090,1829553,1792042,1791027,1833855,1866786,1927998,1945598,2050709,2028299,2108816,2148899,2181869,2197552,2222877,2240871,2270309,2315964,2314984,2345161,2284752,2085498,2247273,2195401,2080953,2132508,2194512,"Total energy consumption.","TN","Tennessee"
"44","TETCB",4438686,4471219,4666199,4921259,5042973,5244514,5590968,5884256,6275726,6665515,6932890,7245446,7637413,8257192,8109795,7526866,7851699,8493877,8960420,9325603,9404691,9169623,8493789,8431018,8979308,9042345,9033794,9265921,9840982,10122093,10305355,10315134,10481505,10594554,10919574,11112949,11878140,12287651,12468594,12128122,12470003,12247790,12558288,12343774,12386942,11907293,11917809,11833864,11304209,10940658,11687521,11906249,11931169,12660976,12899498,"Total energy consumption.","TX","Texas"
"45","TETCB",45079292,45731168,47824415,49661147,51826046,54027593,57026015,58926572,62414722,65596682,67741611,69186565,72705040,75755267,73947572,71986573,76002450,77988301,80021769,80882446,78092506,76141756,73058784,72934367,76571095,76464077,76639363,79005567,82760410,84777019,84506671,84435527,85788490,87394077,89114593,91094462,94091007,94749939,95031439,96630112,98809796,96146440,97651450,97919358,100101972,100189388,99454937,101003077,98876479,94113812,97446021,96827465,94411432,97141368,98385210,"Total energy consumption.","US","United States"
"46","TETCB",303274,300854,310361,311851,334563,339527,350852,345271,365626,395844,397025,415206,428193,457795,473695,480808,510286,486133,510727,526526,504666,478320,467748,491918,504072,500514,470862,462469,526365,537693,535857,565543,551644,577655,587579,637294,666561,680750,704180,694679,739139,708814,688651,698948,729641,760110,778775,781364,768553,742607,756012,794058,790154,831668,797995,"Total energy consumption.","UT","Utah"
"47","TETCB",851397,854711,883813,939833,969429,1046197,1117085,1137209,1197552,1237262,1279079,1322418,1375471,1435152,1382438,1359117,1443957,1486381,1515327,1568560,1530986,1514390,1501204,1559266,1637018,1670703,1757102,1847390,1922153,1965264,1963686,1970840,1996111,2064853,2088252,2152570,2209223,2205512,2231741,2289960,2386863,2323010,2354149,2426176,2550469,2623545,2567532,2644492,2546526,2430815,2483360,2380922,2343908,2414477,2430205,"Total energy consumption.","VA","Virginia"
"48","TETCB",68590,71983,74826,74629,72087,83116,90955,94564,100500,106593,113230,116978,123928,126445,116848,114372,131810,129353,134507,131796,125817,120688,115159,123305,132839,134543,128275,137525,144633,142534,126148,132586,138311,136405,136023,133262,140059,144856,136338,134609,147512,147811,148430,151054,161123,159677,156564,154926,146557,156827,153697,150475,130412,137527,139897,"Total energy consumption.","VT","Vermont"
"49","TETCB",807326,823406,860093,900653,961491,996505,1059018,1112766,1210240,1296170,1294162,1320996,1462424,1498574,1494258,1458192,1506985,1524594,1616281,1667855,1636887,1762351,1667946,1625025,1724834,1724866,1758740,1810665,1947937,2013245,2046537,2037223,2072400,2070975,2061566,2110314,2094444,2123533,2195145,2280746,2211507,1991781,1846924,1858905,1919511,1949180,2056148,2049743,2042720,2032382,2031428,2059630,2037127,2036309,2011941,"Total energy consumption.","WA","Washington"
"50","TETCB",854705,877371,918240,940426,975114,1030827,1092310,1137128,1184187,1248434,1289105,1293256,1287765,1354604,1341794,1342083,1373216,1438214,1501958,1469270,1464225,1421461,1404630,1420068,1487799,1501314,1425710,1404219,1510291,1516718,1484770,1526120,1523747,1586863,1635496,1698134,1762599,1769121,1748913,1841273,1873964,1850705,1891874,1865612,1890212,1972769,1877437,1902887,1895887,1765006,1791199,1778018,1721543,1813458,1868867,"Total energy consumption.","WI","Wisconsin"
"51","TETCB",618085,648779,656413,689768,729171,754149,771733,739871,807507,796709,795817,779620,829078,845892,841869,790485,826810,819881,807866,824027,788491,769966,713424,681890,717856,665504,668439,681406,726684,748661,704527,674209,687631,711222,737383,739250,711466,709533,736808,718736,738464,732696,757220,713386,736519,737604,760774,790053,776602,706505,738821,726341,720985,743612,752942,"Total energy consumption.","WV","West Virginia"
"52","TETCB",141497,154611,173552,163282,163541,172875,180482,205177,225624,250586,255524,268505,286934,283570,278940,277424,300367,325349,354867,378435,362377,352900,363542,329336,351430,357376,336066,363928,370800,382201,399431,388374,421659,407275,408384,403434,415406,414998,421126,425420,428109,438493,438826,461379,450771,456104,480440,523726,538525,524280,540122,556548,550182,539146,535612,"Total energy consumption.","WY","Wyoming"
